customer_no,Contribution_total_giving,Tickets___Total_Amount,Tickets_Number_of_Unique_Perfs,Donor_Category
168354,194210,17428.6,31,Patron+
174666,9250,2742,50,Patron+
176161,310388.2,900.8,11,Patron+
178451,71902.5,26383.45,100,Patron+
179183,24278.58,26537.5,87,Patron+
180465,96310,19491,125,Patron+
182957,173787.55,29671.1,80,Patron+
184893,60498.35,27618,77,Patron+
184986,184976,36419.2,81,Patron+
185227,18500,5596,,Patron+
193234,32533.5,26185.5,94,Patron+
193444,11500,7282,34,Patron+
193540,36349.04,27405,94,Patron+
198150,57146.12,3349.1,,Patron+
198159,12518.25,6876,,Patron+
200209,53850,22370.5,74,Patron+
202837,61000,31664.5,83,Patron+
203247,15053.18,2258.5,6,Patron+
206820,16411.33,14617.5,50,Patron+
216852,111375,63134.35,100,Patron+
220401,177990,26463.76,117,Patron+
221596,46420,53176,53,Patron+
222987,54657,29879.9,88,Patron+
224465,111525,50693.5,104,Patron+
225757,78250,12532,,Patron+
226470,118888,46687.5,85,Patron+
230034,11255,14920.5,63,Patron+
230524,76500,12765,57,Patron+
231415,91250,14087.5,58,Patron+
232422,155986.2,33331.5,20,Patron+
234869,177786.48,82104.5,49,Patron+
239830,148069,16676.25,67,Patron+
242835,35000,11890,50,Patron+
243279,342190.24,60309,56,Patron+
243405,216636.72,52239,27,Patron+
248896,140760,26198.75,78,Patron+
250883,30500,32036.75,81,Patron+
251253,107710,63901.25,80,Patron+
252160,34578.49,8574.5,3,Patron+
252240,41029,13045,70,Patron+
500970,15546,18890,36,Patron+
2212589,189200,15337,13,Patron+
2213233,92000,,,Patron+
2213981,12900,1198.15,3,Patron+
2216627,3770,18424.5,58,Patron+
2217115,60057,10312.5,79,Patron+
2225207,230670,31133.75,63,Patron+
2225548,155255.27,12300,,Patron+
2235747,179500,6764.25,13,Patron+
2239407,25470,11076,6,Patron+
2241186,77548.37,15123.25,16,Patron+
2248156,1190178.82,37741.6,25,Patron+
2251927,1101231.65,46734.15,,Patron+
2255196,147750,30431.29,7,Patron+
2257617,38785.82,10643.1,38,Patron+
2259492,37500,12365.5,39,Patron+
2260936,157508.62,6940.25,40,Patron+
2261511,57100,12390,,Patron+
2263626,168865.5,50592.75,37,Patron+
3005163,7500,11685.7,26,Patron+
3005810,7332,16333,1,Patron+
3007029,8625.85,4408.65,35,Patron+
3010242,102950.5,11019.4,33,Patron+
3017554,177318,46187,23,Patron+
3018369,22090,17629,2,Patron+
3019214,24699.12,9883.75,9,Patron+
3020493,210000,80257.1,33,Patron+
3022216,183883.51,30754.28,29,Patron+
3026417,39000,13994,20,Patron+
3032222,,,,Patron+
3048880,9665,17164,7,Patron+
3049591,70750,8339,7,Patron+
3051583,7550,4494.5,2,Patron+
3052947,92849,25835,2,Patron+
3054007,146610.5,11632,1,Patron+
3055225,51000,2929,,Patron+
3058788,32500,16552.25,15,Patron+
3059286,10550,2427,2,Patron+
3062494,186691,22741.75,9,Patron+
3062638,148485,36621.75,7,Patron+
3063350,7500,8357,8,Patron+
3064395,350662.5,81336.5,5,Patron+
3067885,30110,15511,,Patron+
3068108,17505,10752.5,7,Patron+
3068469,10180,1912.5,1,Patron+
3070295,42650,20333,,Patron+
3070452,10260,12970.5,,Patron+
3071565,5425,7488,,Patron+
3071934,20454,12024.5,,Patron+
3072020,2501,8556,,Patron+
3073012,19740,10096,,Patron+
3075180,29365,9761,,Patron+
3076401,48323.4,24394,,Patron+
3076537,4693,7328.25,,Patron+
3079744,5400,1601.5,,Patron+
3079800,2500,2991,,Patron+
3082442,25218.75,11425.55,,Patron+
3082970,12574.6,6828,,Patron+
3083304,10367.56,4888.25,,Patron+
3083909,11120,5565.3,,Patron+
3084692,147000,27821.5,,Patron+
3084739,5000,1599,,Patron+
3085700,9866.5,7357,,Patron+
3086736,17034.9,4782,,Patron+
3086824,35409.79,3453.2,,Patron+
3088284,2538,3820.95,,Patron+
3088506,3600,704,,Patron+
3088704,10000,9548,,Patron+
3094101,36500,15892,,Patron+
3094596,2500,2200,,Patron+
3095059,5000,6224,,Patron+
3095160,5000,3109,,Patron+
3095216,2550,9755,,Patron+
3095224,10100,8733,,Patron+
3098524,10000,4301.25,,Patron+
3098759,6300,10013,,Patron+
3098836,50875,23463.5,,Patron+
3104199,24030,2940,,Patron+
3106798,45000,27140,,Patron+
3107049,15000,1022,,Patron+
3107282,5095,1120.5,,Patron+
3110868,24450,5262.25,,Patron+
3110899,58000,25,,Patron+
3111400,14700,6025.5,,Patron+
3111684,45100,10126,,Patron+
3112236,10512,1610.8,,Patron+
3112365,1700,85,,Patron+
3112441,2500,,,Patron+
3113121,136680,38916.2,,Patron+
3113270,5000,275,,Patron+
3113603,20000,12284,,Patron+
3114058,30992.31,8384.3,,Patron+
3114738,7521.5,1568,,Patron+
3202969,4235,2085,,Patron+
3203013,40000,1976,,Patron+
3204732,370000,2718.5,,Patron+
3205088,5700,2358,,Patron+
3205125,4265,2358,,Patron+
3205127,101500,14355,,Patron+
3205678,26935,8632,,Patron+
3205707,29127.4,8452,,Patron+
3205973,20200,6719.5,,Patron+
3206217,20250,7192.25,,Patron+
3206262,132910,7629.75,,Patron+
3206658,3850,267,,Patron+
3206771,2500,1661,,Patron+
3206956,25000,14284.3,,Patron+
3207216,5650,1003.5,,Patron+
3207333,5400,596,,Patron+
3207336,50180,10617.4,,Patron+
3207443,323150,21090.68,,Patron+
3208390,37240,6652.7,,Patron+
3208568,5107.5,1700,,Patron+
3208680,23593,2484.5,,Patron+
3208788,2500,1003,,Patron+
3208822,2500,480,,Patron+
3208872,10135.5,3291,,Patron+
3208974,5000,4783,,Patron+
3209684,12000,1035,,Patron+
3209761,2750,5355.65,,Patron+
3209965,100446.13,17856,,Patron+
3210028,15140,7160,,Patron+
3210084,,469.5,,Patron+
3210341,46000,1418.8,,Patron+
3211154,20027.5,1265,,Patron+
3211351,5000,,,Patron+
3211369,15159.3,8269,,Patron+
3211709,5500,8506,,Patron+
3212697,6238.85,1498,,Patron+
3213014,55110,6070,,Patron+
3213124,3100,1136,,Patron+
3216315,17734.85,659.26,,Patron+
3216472,2547.3,1249,,Patron+
3216540,3200,1647.5,,Patron+
3216887,20062.5,1160,,Patron+
3217893,7500,5743,,Patron+
3218095,5000,,,Patron+
3218103,5000,13272,,Patron+
3218362,315250,17086.2,,Patron+
3218719,14582.9,3623.95,,Patron+
3218737,50000,,,Patron+
3218785,5600,1042,,Patron+
3219149,30200,23703,,Patron+
3219639,31057.5,2750,,Patron+
3220052,73061.5,10539.5,,Patron+
3220184,5500,4151.5,,Patron+
3220563,51195.45,1538.58,,Patron+
3220767,5000,1374,,Patron+
3220938,20000,32172,,Patron+
3221300,7546,5446,,Patron+
3222131,5100,14030.5,,Patron+
3222424,7685,5527.25,,Patron+
3222433,12050,2049.87,,Patron+
3222612,2511,1176.6,,Patron+
3222860,2568.5,670,,Patron+
3223094,2500,3450,,Patron+
3223735,50500,1445,,Patron+
3223745,16525,21459.26,,Patron+
3224204,63000,4710.76,,Patron+
3225010,6500,3136,,Patron+
3225429,20700,5774,,Patron+
3225542,3000,530,,Patron+
3225684,7000,553,,Patron+
3225996,21404.4,3230.5,,Patron+
3225998,10720,,,Patron+
3226289,3202850.5,8264,,Patron+
3226740,9041.8,2667.8,,Patron+
3226833,2500,,,Patron+
3226927,18460.5,457.44,,Patron+
3227686,5000,,,Patron+
3227705,17500,488,,Patron+
3227716,12100,1896.43,,Patron+
3228292,4600,2004,,Patron+
3231733,9600,917.5,,Patron+
3231904,11113.6,1697,,Patron+
3232223,8411,1501,,Patron+
3232380,10150,2821,,Patron+
3234041,7000,,,Patron+
3234801,10000,1192,,Patron+
3235332,5500,922,,Patron+
3236056,5000,,,Patron+
3236587,2500,,,Patron+
3236675,10000,,,Patron+
3236869,21000,,,Patron+
3237059,10000,370,,Patron+
3239613,5000,459,,Patron+
3240212,63519.6,963,,Patron+
3240728,7050,,,Patron+
3240773,13471,4572,,Patron+
3240791,7000,6553,,Patron+
3241352,5000,,,Patron+
3241355,5000,,,Patron+
3241628,25400,128,,Patron+
3241698,2500,6411,,Patron+
3241848,2500,45,,Patron+
3241963,2515,2081,,Patron+
3242158,2500,884,,Patron+
3242984,5010,6698,,Patron+
3245665,10000,,,Patron+
3247371,10000,277.5,,Patron+
3250022,5000,568,,Patron+
1088,4055,15113.5,86,Under-Patron
1093,11407,7131.5,75,Under-Patron
1250,2830,33529,97,Under-Patron
1320,4820,13917,87,Under-Patron
1391,15072,26232,80,Under-Patron
1400,3998,7930.2,22,Under-Patron
1412,1255,5912.3,,Under-Patron
1548,11220,28690,90,Under-Patron
1621,285570,29649,59,Under-Patron
1643,475,7554.5,8,Under-Patron
1743,10985.5,1659.5,33,Under-Patron
1755,77385,28852,114,Under-Patron
1925,3930,46234.75,78,Under-Patron
1940,3707.2,24183.25,96,Under-Patron
2024,47859.5,7556.25,55,Under-Patron
2037,2292.5,10906,107,Under-Patron
2098,6955,27983.5,88,Under-Patron
2104,45183,17119,40,Under-Patron
2192,354596.48,61672.5,127,Under-Patron
2202,8843,23556,79,Under-Patron
2334,36470,27119.5,92,Under-Patron
2438,11920,28628.75,96,Under-Patron
2547,11100,7512,7,Under-Patron
2568,18345,23587.35,73,Under-Patron
2575,570,5671,15,Under-Patron
2586,21725,4296.25,24,Under-Patron
2631,638,15141,89,Under-Patron
2645,14893,3874,13,Under-Patron
2667,27425,4925.5,36,Under-Patron
2689,14550,16873.5,80,Under-Patron
2722,8945,9235.75,84,Under-Patron
2764,2920,6360.5,80,Under-Patron
2832,14620,11007.75,91,Under-Patron
2899,1840,24.5,4,Under-Patron
2928,12561,14688,80,Under-Patron
2944,4515,3677.2,83,Under-Patron
2973,480,4749.62,54,Under-Patron
2999,4110,19091,24,Under-Patron
3066,3025,7542,63,Under-Patron
3068,5750,,,Under-Patron
3112,22921.5,18196,80,Under-Patron
3171,4220,8792,20,Under-Patron
3236,100,340,,Under-Patron
3265,12675,6493,27,Under-Patron
3295,19750,15044,36,Under-Patron
3335,58895,1060,7,Under-Patron
3432,1761.25,898.5,1,Under-Patron
3522,2050,9065,82,Under-Patron
3654,29250,28302.25,75,Under-Patron
3806,22873,45759,89,Under-Patron
3807,40100,47466.5,90,Under-Patron
3905,1805,10036,90,Under-Patron
3923,4455,16683.5,88,Under-Patron
4005,810,3577.5,21,Under-Patron
4057,610,1450.45,13,Under-Patron
4245,306523,49614.75,84,Under-Patron
4278,34111.5,65991.5,86,Under-Patron
4380,5250,2640.5,12,Under-Patron
4406,84970,30574,127,Under-Patron
4413,715,8746.75,83,Under-Patron
4438,4170,531,9,Under-Patron
4630,8670,9414.25,76,Under-Patron
4657,64990.99,30047.5,83,Under-Patron
4857,19758,51067,95,Under-Patron
4864,10334.75,7635.5,84,Under-Patron
4875,13575,723,4,Under-Patron
5148,12300,27477,91,Under-Patron
5168,1480,11229,42,Under-Patron
5192,35704.6,44449.75,70,Under-Patron
5278,2750,1514.5,12,Under-Patron
5558,6919,14311,81,Under-Patron
5759,80567.99,2356,11,Under-Patron
7039,64619,13779.8,112,Under-Patron
7068,52652,42140.5,82,Under-Patron
7081,5589,25259.5,88,Under-Patron
7136,360,8912.25,26,Under-Patron
7137,80088,51859.5,131,Under-Patron
7197,73225.34,17405,100,Under-Patron
7272,15239.5,33807.75,93,Under-Patron
7287,3650,9314,88,Under-Patron
7634,150,14343.75,84,Under-Patron
8810,13530,34093.5,80,Under-Patron
10117,135,2010,8,Under-Patron
10238,5922,11727.45,101,Under-Patron
10309,170,8616.5,92,Under-Patron
10325,1721,6882,36,Under-Patron
10392,195,12434.75,71,Under-Patron
10465,1165,837,4,Under-Patron
10507,12615,15846,118,Under-Patron
10555,77002,3636.25,26,Under-Patron
10584,1883.25,3043.3,85,Under-Patron
10640,6250,7615,7,Under-Patron
10740,4464,58903.75,100,Under-Patron
10834,42860,23042.5,86,Under-Patron
10836,31277.5,18149.5,96,Under-Patron
10845,9144,11372.5,88,Under-Patron
10877,758.25,31415.5,87,Under-Patron
10959,2716,11511,77,Under-Patron
10989,2225,4636,18,Under-Patron
10993,467,3524,,Under-Patron
10999,412755.39,40576.76,114,Under-Patron
11010,70098.5,11885,115,Under-Patron
11017,1350,21285.75,81,Under-Patron
11146,485,4441,8,Under-Patron
11245,21207.75,11260.25,100,Under-Patron
11273,6175,16713,87,Under-Patron
11304,578.75,15859.5,85,Under-Patron
11559,41845.27,52629.5,83,Under-Patron
11573,495,2212.3,51,Under-Patron
11576,6045,7717,81,Under-Patron
11684,925,1652.75,11,Under-Patron
11724,3129,3477,2,Under-Patron
11750,1438,13608,53,Under-Patron
11800,8695.75,15734.95,137,Under-Patron
11860,7920,68471.5,87,Under-Patron
11872,19211.72,11415.25,96,Under-Patron
11874,1469.5,2118.25,43,Under-Patron
12105,58281.82,24842.5,72,Under-Patron
12108,35525,46224.5,86,Under-Patron
12368,15774,56898.5,94,Under-Patron
12405,7637.53,19013,89,Under-Patron
12428,35255,17367,107,Under-Patron
12434,6540,14612.5,93,Under-Patron
12451,560,6132.75,89,Under-Patron
12731,7722.84,42266,90,Under-Patron
12750,3250,8773.5,86,Under-Patron
12754,1610,7277.85,89,Under-Patron
12772,2590,12265.25,92,Under-Patron
12784,1300,9799,36,Under-Patron
12808,7653,10243,22,Under-Patron
12898,50,6102.5,85,Under-Patron
12933,14893,32856,89,Under-Patron
12964,735,6648.75,80,Under-Patron
13093,15798.5,1429.5,4,Under-Patron
13124,362.5,20133,58,Under-Patron
13159,17500,19764,21,Under-Patron
13181,87850,37483,88,Under-Patron
13399,6644.5,6579.5,61,Under-Patron
13406,25131,31109.8,104,Under-Patron
13449,13556,28209.25,100,Under-Patron
13952,5370,,,Under-Patron
14505,352,8908.4,86,Under-Patron
15182,25341.5,17255,24,Under-Patron
15361,1225,16094,86,Under-Patron
16132,5620,2535,5,Under-Patron
16194,6310,8300,17,Under-Patron
16744,868.5,15463,91,Under-Patron
17089,12,15703.75,87,Under-Patron
19034,250,1774,5,Under-Patron
19036,53500.34,38545.25,104,Under-Patron
20091,897,13275.5,89,Under-Patron
20134,3229.5,27324.25,88,Under-Patron
20170,1513,6571.25,36,Under-Patron
20275,121050,13779.5,108,Under-Patron
20354,75,11455.25,62,Under-Patron
20452,1875.9,7034.75,23,Under-Patron
20502,4640,9697.5,81,Under-Patron
20696,21008,15933.75,109,Under-Patron
20830,1985,10983.25,88,Under-Patron
20877,1595,10380.25,94,Under-Patron
21080,17222,2808,3,Under-Patron
21135,2340,7868.75,61,Under-Patron
21155,20,11766.25,84,Under-Patron
21189,19380.09,43420.25,93,Under-Patron
21257,24453,18536.25,88,Under-Patron
21391,975,1522.75,3,Under-Patron
21508,552.25,18851.75,92,Under-Patron
21562,16050,17431.5,47,Under-Patron
21615,4850,33859,,Under-Patron
21765,1802.33,4324.2,,Under-Patron
22296,7289,14107.65,90,Under-Patron
22625,5504,9483,89,Under-Patron
22669,3800,24856,87,Under-Patron
23699,30738,6513.8,74,Under-Patron
23867,66175,8720,17,Under-Patron
23897,4729,14394.75,40,Under-Patron
25623,200,11425.5,75,Under-Patron
26002,62626,31779.25,90,Under-Patron
27171,11030,49214.25,85,Under-Patron
27187,1625,41202.5,83,Under-Patron
27541,8088,25854,91,Under-Patron
27615,14301.5,19397.25,90,Under-Patron
27812,5426,4219,24,Under-Patron
27827,1514.75,7684.75,70,Under-Patron
28148,13076,8837,103,Under-Patron
28162,26950,42039,90,Under-Patron
30006,2294.75,3257,20,Under-Patron
30018,21189,26684.25,82,Under-Patron
30099,1520,4938.5,45,Under-Patron
30614,1769,24086.25,77,Under-Patron
31993,13993.44,4725.25,55,Under-Patron
33830,8320,60458.25,81,Under-Patron
34091,18100,5288,50,Under-Patron
34109,167460.92,32727,86,Under-Patron
34366,17950,9795.75,101,Under-Patron
37043,4029,28791.5,84,Under-Patron
37083,45392,16642,97,Under-Patron
37459,8530,15705.5,111,Under-Patron
37581,825,6548,41,Under-Patron
37885,4260,19366.5,94,Under-Patron
38385,14025,1959,13,Under-Patron
39646,665.75,13797.5,85,Under-Patron
39847,17650,16895.75,61,Under-Patron
40933,861.5,3330,2,Under-Patron
41564,340,8159.25,80,Under-Patron
43017,33996,38626.75,129,Under-Patron
45651,516.9,12787.5,87,Under-Patron
45669,14126.2,16045,112,Under-Patron
45715,1856.25,3944,80,Under-Patron
45852,30,6804.5,,Under-Patron
45860,69695,49216,68,Under-Patron
45974,889.97,3797.5,69,Under-Patron
46458,3000,15030.6,3,Under-Patron
47778,11500,610,,Under-Patron
47992,934,4715,46,Under-Patron
47993,756,8710.75,77,Under-Patron
48438,10458,16016.25,89,Under-Patron
48547,600,205,,Under-Patron
48680,305,1434,1,Under-Patron
48926,1100,13878,77,Under-Patron
49063,875,1308,3,Under-Patron
49208,1716,13873.75,97,Under-Patron
49465,318,2180,22,Under-Patron
49480,14552,14484,112,Under-Patron
50109,2105,6753.5,22,Under-Patron
50581,11487,7895.5,52,Under-Patron
50584,14492,27875.5,88,Under-Patron
50904,780,2741.5,84,Under-Patron
51316,153458,29206.5,113,Under-Patron
53189,250,5447.5,30,Under-Patron
53683,807.5,5077.86,7,Under-Patron
54641,150,5759,62,Under-Patron
54750,248292.04,38502,74,Under-Patron
54905,1814.8,4145.75,90,Under-Patron
54958,332.65,7255,74,Under-Patron
55055,33101,28278.75,102,Under-Patron
55116,30913,23183.5,106,Under-Patron
55151,45775.5,16257,57,Under-Patron
55834,4953,35373,86,Under-Patron
55983,37184.2,36184.2,73,Under-Patron
56573,26500,68999,93,Under-Patron
56643,2744,6074,69,Under-Patron
56714,9911.5,23506,,Under-Patron
56984,5075,9879,94,Under-Patron
57014,1245,3921,16,Under-Patron
57200,4325,,1,Under-Patron
57448,28,8649.5,4,Under-Patron
57626,115,12616.5,81,Under-Patron
57722,7233.75,391,3,Under-Patron
58241,850,7134,47,Under-Patron
58277,3250,44630.5,95,Under-Patron
60604,21346,22189.7,84,Under-Patron
60747,2250,14540.75,69,Under-Patron
61431,9250,26283,84,Under-Patron
61478,3575,21349.5,87,Under-Patron
62638,64044.92,19903.25,78,Under-Patron
69556,272,690,,Under-Patron
70582,6025,2712,17,Under-Patron
73639,9665,20805.5,86,Under-Patron
77610,17719.25,179.63,1,Under-Patron
80423,10,1243,14,Under-Patron
80478,581.5,3656.75,7,Under-Patron
80937,300,1625.5,11,Under-Patron
81266,7190,20523.5,92,Under-Patron
81294,1071,8227,,Under-Patron
81478,13909.5,10615,104,Under-Patron
81684,1091.94,3164.25,75,Under-Patron
82419,225,3021.5,23,Under-Patron
82676,2810.5,22681,54,Under-Patron
83047,1375,1631,20,Under-Patron
83193,2659,5418,68,Under-Patron
83194,4024,4308,21,Under-Patron
83204,850,12578.25,83,Under-Patron
83439,397,3925.75,46,Under-Patron
83575,36285.5,17203,96,Under-Patron
83790,737.5,5604,26,Under-Patron
83844,4630,5922.25,89,Under-Patron
86288,4052,22513.75,97,Under-Patron
86429,3755,6123.25,88,Under-Patron
87007,27110,30265.5,111,Under-Patron
87671,875,14688,89,Under-Patron
87950,5905,12652,91,Under-Patron
87964,5162,17537,55,Under-Patron
88234,10275,15008.5,57,Under-Patron
88718,4750,4502,21,Under-Patron
89461,70,5994,3,Under-Patron
89495,150.06,5447,20,Under-Patron
90088,33.43,2219.05,20,Under-Patron
90348,4913,46648.75,83,Under-Patron
90526,2925,,3,Under-Patron
90646,300,1584,3,Under-Patron
90661,2390,3393.5,18,Under-Patron
90717,773.5,9282.75,83,Under-Patron
91311,400,15694,24,Under-Patron
91358,1200,15581,18,Under-Patron
91430,15450,22543.5,72,Under-Patron
91529,5266.5,1579.75,,Under-Patron
91586,5811.25,14451.75,80,Under-Patron
91610,22175.42,18261.5,93,Under-Patron
91642,568.5,11162.5,37,Under-Patron
91663,1705,1203,11,Under-Patron
91863,2420.4,27734.5,80,Under-Patron
91969,20952.5,48691,86,Under-Patron
92030,23800,28572.5,38,Under-Patron
92052,1816,8955.5,31,Under-Patron
92614,927,8535.89,26,Under-Patron
92728,995,11098,49,Under-Patron
92746,50,360,7,Under-Patron
92756,235,27030.5,82,Under-Patron
92879,6454.5,12599.5,56,Under-Patron
93234,8245,6929,21,Under-Patron
93593,16014,57177.5,89,Under-Patron
93877,440,10761.5,56,Under-Patron
94217,28,7786.6,30,Under-Patron
94493,76240,28918.1,147,Under-Patron
94603,8016.4,11309.75,80,Under-Patron
94980,1519,14940.5,92,Under-Patron
95400,550,,,Under-Patron
95677,25258.5,29828.5,54,Under-Patron
95829,1300,,1,Under-Patron
95977,426.5,4335,5,Under-Patron
96203,12259,16841,92,Under-Patron
96363,6735,5061,46,Under-Patron
96410,1201731.43,129568.5,96,Under-Patron
96499,150,6933,18,Under-Patron
96596,750,1389,6,Under-Patron
97165,52648,17031.5,95,Under-Patron
97298,882.5,5275.5,67,Under-Patron
97341,1559,2334.75,67,Under-Patron
97367,24600,5221.5,14,Under-Patron
97406,16356297.76,33168.25,99,Under-Patron
97590,2710,9727.5,100,Under-Patron
97643,9815.5,28325,89,Under-Patron
97998,1700,54427.5,90,Under-Patron
98068,5957,14543.25,92,Under-Patron
98072,1119,4096.75,64,Under-Patron
98195,525,13207.5,84,Under-Patron
98420,15667,7148.25,94,Under-Patron
98606,350,1915,,Under-Patron
98862,3330,1007.75,,Under-Patron
98916,1733.6,20766,85,Under-Patron
99022,50246,26609,81,Under-Patron
99122,3620,8983.5,27,Under-Patron
99254,305,11647.75,101,Under-Patron
99286,6050,13839.5,97,Under-Patron
99513,15,5091.75,1,Under-Patron
100982,70,775,3,Under-Patron
101296,1065,15947,47,Under-Patron
101425,6250,8722.5,21,Under-Patron
101614,1400,2518,3,Under-Patron
101912,2850,6653,8,Under-Patron
101951,10,736,4,Under-Patron
102255,5,1943.5,2,Under-Patron
102540,43992.5,30806.5,91,Under-Patron
102616,200,712,4,Under-Patron
102754,3586,11853.75,81,Under-Patron
102771,5057.5,32369.7,80,Under-Patron
103104,22671.5,1158.5,19,Under-Patron
103194,14603.5,26690,91,Under-Patron
103457,1820,5942,32,Under-Patron
104049,155,1553.5,34,Under-Patron
104084,5910,32353.5,75,Under-Patron
104152,10204,8511,88,Under-Patron
104501,4761,930,9,Under-Patron
104518,4050,8434.5,25,Under-Patron
104896,5,,,Under-Patron
104929,7750,13750.25,83,Under-Patron
104951,37700,13245,79,Under-Patron
104970,16700,53623.5,95,Under-Patron
104979,17,1613,8,Under-Patron
105273,7325,10395,33,Under-Patron
105364,500,13729,99,Under-Patron
105406,1225,9822,85,Under-Patron
105559,7833,12964.5,86,Under-Patron
105634,3400,3516,6,Under-Patron
105897,9650,2084,17,Under-Patron
106531,75,779,5,Under-Patron
106917,5250,3122,6,Under-Patron
107020,23500,32787.5,63,Under-Patron
107675,14100,250,1,Under-Patron
107802,22100,11035,77,Under-Patron
108010,197.5,4067.3,81,Under-Patron
108612,5750,10514,22,Under-Patron
108641,9792.5,23414.5,35,Under-Patron
108702,3092,15800,88,Under-Patron
108879,7620,153,,Under-Patron
108905,26275,52872,88,Under-Patron
109023,36725,574,,Under-Patron
109262,915,2597.25,25,Under-Patron
109855,295,1690,1,Under-Patron
109915,4990,36456.5,86,Under-Patron
109988,1150,13535,20,Under-Patron
110605,6000,15047.25,16,Under-Patron
110663,550,8109.5,87,Under-Patron
111073,128,9607.5,79,Under-Patron
111585,3248.5,50624,99,Under-Patron
111682,7530,20387.75,88,Under-Patron
111913,1450,7382.5,1,Under-Patron
112191,4082.25,14305.25,85,Under-Patron
112398,350,18139.75,51,Under-Patron
112511,21051,13866.75,66,Under-Patron
112520,2591,12286.25,88,Under-Patron
112971,3050,,,Under-Patron
113060,492.25,9742.75,77,Under-Patron
113159,6500,5565,2,Under-Patron
113205,150,3690.45,,Under-Patron
113210,14430,14064.5,88,Under-Patron
113231,30,60,,Under-Patron
113969,86800,756,1,Under-Patron
114268,18895,21253.5,84,Under-Patron
115143,534,4631.75,47,Under-Patron
115178,187.5,1236.4,5,Under-Patron
115458,1,98,,Under-Patron
115735,116950,8716,33,Under-Patron
115884,30745,26507.5,82,Under-Patron
115917,220.75,6957.75,50,Under-Patron
116036,11389.5,51372,79,Under-Patron
116354,750,9056.35,64,Under-Patron
116804,3350,3307.5,5,Under-Patron
116846,28070,17352.5,59,Under-Patron
117011,21408,24953.75,77,Under-Patron
117034,5190,14662,26,Under-Patron
117178,725,1191.5,,Under-Patron
117495,12.5,250,,Under-Patron
117884,5735,16327.75,98,Under-Patron
117971,720,4009,16,Under-Patron
118442,205,18360.9,2,Under-Patron
118601,50,13653.5,85,Under-Patron
118833,4650,7959.25,,Under-Patron
119087,460,680,,Under-Patron
119375,1300,5613,12,Under-Patron
119703,100,1053,2,Under-Patron
120280,225,6835,58,Under-Patron
120285,3600,27524,87,Under-Patron
120411,36007.2,19155,113,Under-Patron
120448,1170.5,8829.9,86,Under-Patron
120546,12654.5,25014.5,116,Under-Patron
120633,870,5786.75,25,Under-Patron
120755,3875,4332,4,Under-Patron
