customer no,Difference between Earliest Engagement and First Donation,First Contribution Amount,Donor Category
3106798,5337,5000,Patron+
3107049,2018,15000,Patron+
3107282,564,36,Patron+
3110868,787,5000,Patron+
3110899,0,5000,Patron+
3111400,341,500,Patron+
3111684,141,100,Patron+
3112236,459,440,Patron+
3112365,791,1700,Patron+
3112441,1509,2500,Patron+
3113121,2191,5000,Patron+
3113270,-45035,5000,Patron+
3113603,0,2500,Patron+
3114058,170,2500,Patron+
3114738,0,0,Patron+
3202969,0,500,Patron+
3203013,0,5000,Patron+
3204732,0,10000,Patron+
3205088,0,700,Patron+
3205125,0,1000,Patron+
3205127,59,5000,Patron+
3205678,0,200,Patron+
3205707,0,111,Patron+
3205973,520,200,Patron+
3206217,99,2500,Patron+
3206262,70,15000,Patron+
3206658,74,300,Patron+
3206771,340,2500,Patron+
3206956,2152,5000,Patron+
3207216,612,300,Patron+
3207333,96,2500,Patron+
3207336,29,10000,Patron+
3207443,0,1000,Patron+
3208390,72,2500,Patron+
3208568,1076,20,Patron+
3208680,389,100,Patron+
3208788,122,2500,Patron+
3208822,237,2500,Patron+
3208872,0,100,Patron+
3208974,361,2500,Patron+
3209684,473,5000,Patron+
3209761,426,100,Patron+
3209965,205,1200,Patron+
3210028,1499,140,Patron+
3210084,-44550,0,Patron+
3210341,0,1500,Patron+
3211154,968,5000,Patron+
3211369,85,136,Patron+
3211709,38,100,Patron+
3212697,342,12,Patron+
3213014,0,500,Patron+
3213124,35,100,Patron+
3216315,0,2500,Patron+
3216472,103,47,Patron+
3216540,0,2500,Patron+
3216887,0,63,Patron+
3217893,3109,0,Patron+
3218095,0,5000,Patron+
3218103,662,0,Patron+
3218362,0,0,Patron+
3218719,0,20,Patron+
3218785,33,2500,Patron+
3219149,0,3500,Patron+
3219639,341,25,Patron+
3220052,0,62,Patron+
3220184,233,250,Patron+
3220563,29,45,Patron+
3220767,5,5000,Patron+
3220938,0,10000,Patron+
3221300,59,46,Patron+
3222131,324,100,Patron+
3222424,0,35,Patron+
3222433,0,300,Patron+
3222612,269,1,Patron+
3222860,0,69,Patron+
3223094,149,2500,Patron+
3223735,0,3000,Patron+
3223745,0,25,Patron+
3224204,0,300,Patron+
3225010,0,5000,Patron+
3225429,0,10000,Patron+
3225542,587,500,Patron+
3225684,0,2500,Patron+
3225996,0,1180,Patron+
3226289,0,50000,Patron+
3226740,0,42,Patron+
3226833,0,2500,Patron+
3226927,0,5000,Patron+
3227705,0,2500,Patron+
3227716,0,100,Patron+
3228292,0,100,Patron+
3231733,0,2500,Patron+
3231904,61,5000,Patron+
3232223,0,5,Patron+
3232380,0,5000,Patron+
3234801,0,5000,Patron+
3235332,0,5500,Patron+
3236056,0,2500,Patron+
3236587,391,2500,Patron+
3236869,0,10000,Patron+
3237059,56,5000,Patron+
3239613,0,0,Patron+
3240212,0,10000,Patron+
3240773,0,2500,Patron+
3240791,192,2000,Patron+
3241628,-45682,400,Patron+
3241698,199,2500,Patron+
3241848,0,2500,Patron+
3241963,9,15,Patron+
3242158,129,2500,Patron+
3242984,120,10,Patron+
3247371,15,10000,Patron+
3250022,0,5000,Patron+
1088,3846.00,0,Under-Patron
1093,11397.00,0,Under-Patron
1250,2815.00,0,Under-Patron
1320,4801.00,0,Under-Patron
1391,15059.00,0,Under-Patron
1400,3992.00,0,Under-Patron
1412,1250.00,0,Under-Patron
1548,11201.00,0,Under-Patron
1621,285562.00,0,Under-Patron
1643,461.00,0,Under-Patron
1743,10977.50,0,Under-Patron
1755,77369.00,0,Under-Patron
1925,3915.00,25,Under-Patron
1940,3688.20,0,Under-Patron
2024,47844.50,70,Under-Patron
2037,2271.50,0,Under-Patron
2098,6938.00,0,Under-Patron
2104,45169.00,0,Under-Patron
2192,354578.48,0,Under-Patron
2202,8832.00,0,Under-Patron
2334,36456.00,0,Under-Patron
2438,11900.00,10,Under-Patron
2547,11093.00,1000,Under-Patron
2568,18325.00,25,Under-Patron
2575,557.00,10,Under-Patron
2586,21722.00,50,Under-Patron
2631,627.00,9,Under-Patron
2645,14881.00,200,Under-Patron
2667,27415.00,100,Under-Patron
2689,14538.00,25,Under-Patron
2722,8930.00,10,Under-Patron
2764,2912.00,100,Under-Patron
2832,14602.00,10,Under-Patron
2899,1838.00,25,Under-Patron
2928,12545.00,20,Under-Patron
2944,4500.00,5,Under-Patron
2973,470.00,25,Under-Patron
2999,4100.00,10,Under-Patron
3066,3014.00,25,Under-Patron
3068,5738.00,10,Under-Patron
3112,22917.50,25,Under-Patron
3171,4219.00,15,Under-Patron
3236,88.00,10,Under-Patron
3265,12661.00,100,Under-Patron
3295,19748.00,50,Under-Patron
3335,58892.00,25,Under-Patron
3432,1748.25,15,Under-Patron
3522,2034.00,100,Under-Patron
3654,29233.00,20,Under-Patron
3806,22856.00,100,Under-Patron
3807,40080.00,40,Under-Patron
3905,1789.00,650,Under-Patron
3923,4448.00,25,Under-Patron
4005,794.00,0,Under-Patron
4057,596.00,250,Under-Patron
4245,306506.00,100,Under-Patron
4278,34100.50,0,Under-Patron
4380,5235.00,25,Under-Patron
4406,84958.00,0,Under-Patron
4413,709.00,0,Under-Patron
4438,4152.00,25,Under-Patron
4630,8650.00,20,Under-Patron
4657,64974.99,0,Under-Patron
4857,19742.00,15,Under-Patron
4864,10330.75,0,Under-Patron
4875,13555.00,100,Under-Patron
5148,12287.00,5,Under-Patron
5168,1468.00,1000,Under-Patron
5192,31686.60,75,Under-Patron
5278,2732.00,0,Under-Patron
5558,6916.00,2500,Under-Patron
5759,80551.99,0,Under-Patron
7039,64614.00,1000,Under-Patron
7068,52633.00,35,Under-Patron
7081,5572.00,50,Under-Patron
7136,343.00,20,Under-Patron
7137,80068.00,200,Under-Patron
7197,73204.34,25,Under-Patron
7272,15226.50,50,Under-Patron
7287,3629.00,50,Under-Patron
7634,137.00,2000,Under-Patron
8810,13526.00,15,Under-Patron
10117,116.00,50,Under-Patron
10238,5906.00,40,Under-Patron
10309,159.00,50,Under-Patron
10325,1704.00,30,Under-Patron
10392,190.00,25,Under-Patron
10465,1145.00,50,Under-Patron
10507,12610.00,250,Under-Patron
10555,76990.00,25,Under-Patron
10584,1881.25,50,Under-Patron
10640,6229.00,0,Under-Patron
10740,4456.00,100,Under-Patron
10834,42839.00,25,Under-Patron
10836,31263.50,30,Under-Patron
10845,9127.00,700,Under-Patron
10877,740.25,0,Under-Patron
10959,2705.00,25,Under-Patron
10989,2220.00,5,Under-Patron
10993,444.00,10,Under-Patron
10999,412734.39,25,Under-Patron
11010,70084.50,25,Under-Patron
11017,1341.00,25,Under-Patron
11146,464.00,50,Under-Patron
11245,21186.75,100,Under-Patron
11273,6156.00,5,Under-Patron
11304,556.75,0,Under-Patron
11559,41839.27,0,Under-Patron
11573,484.00,25,Under-Patron
11576,6038.00,25,Under-Patron
11684,922.00,0,Under-Patron
11724,3116.00,15,Under-Patron
11750,1417.00,20,Under-Patron
11800,8681.75,100,Under-Patron
11860,7901.00,215.72,Under-Patron
11872,19197.72,25,Under-Patron
11874,1455.50,25,Under-Patron
12105,58267.82,50,Under-Patron
12108,35506.00,25,Under-Patron
12368,15756.00,10,Under-Patron
12405,7616.53,50,Under-Patron
12428,35234.00,25,Under-Patron
12434,6522.00,10,Under-Patron
12451,541.00,25,Under-Patron
12731,7704.84,25,Under-Patron
12750,3233.00,20,Under-Patron
12754,1597.00,10,Under-Patron
12772,2576.00,25,Under-Patron
12784,1283.00,33,Under-Patron
12808,7639.00,50,Under-Patron
12898,31.00,25,Under-Patron
12933,14885.00,5,Under-Patron
12964,731.00,0,Under-Patron
13093,15781.50,4,Under-Patron
13124,350.50,2500,Under-Patron
13159,17482.00,50,Under-Patron
13181,87834.00,25,Under-Patron
13399,6626.50,50,Under-Patron
13406,25110.00,10,Under-Patron
13449,13538.00,2,Under-Patron
13952,5360.00,250,Under-Patron
14505,333.00,100,Under-Patron
15182,25338.50,10,Under-Patron
15361,1218.00,125,Under-Patron
16132,5599.00,12,Under-Patron
16194,6290.00,12,Under-Patron
16744,860.50,25,Under-Patron
17089,-6.00,311.5,Under-Patron
19034,236.00,67,Under-Patron
19036,53480.34,125,Under-Patron
20091,878.00,25,Under-Patron
20134,3211.50,50,Under-Patron
20170,1498.00,25,Under-Patron
20275,121041.00,25,Under-Patron
20354,62.00,5,Under-Patron
20452,1860.90,50,Under-Patron
20502,4627.00,100,Under-Patron
20696,20990.00,45,Under-Patron
20830,1982.00,0,Under-Patron
20877,1575.00,40,Under-Patron
21080,17205.00,10,Under-Patron
21135,2320.00,25,Under-Patron
21155,4.00,200,Under-Patron
21189,19378.09,10,Under-Patron
21257,24432.00,25,Under-Patron
21391,972.00,25,Under-Patron
21508,546.25,100,Under-Patron
21562,16046.00,25,Under-Patron
21615,4829.00,200,Under-Patron
21765,1789.33,4,Under-Patron
22296,7270.00,25,Under-Patron
22625,5486.00,20,Under-Patron
22669,3789.00,100,Under-Patron
23699,30724.00,50,Under-Patron
23867,66166.00,100,Under-Patron
23897,4711.00,125,Under-Patron
25623,180.00,25,Under-Patron
26002,62611.00,25,Under-Patron
27171,11013.00,50,Under-Patron
27187,1615.00,100,Under-Patron
27541,8084.00,31,Under-Patron
27615,14289.50,500,Under-Patron
27812,5405.00,25,Under-Patron
27827,1496.75,100,Under-Patron
28148,13057.00,100,Under-Patron
28162,26931.00,25,Under-Patron
30006,2286.75,25,Under-Patron
30018,21172.00,19,Under-Patron
30099,1514.00,25,Under-Patron
30614,1748.00,100,Under-Patron
31993,13984.44,100,Under-Patron
33830,8308.00,1500,Under-Patron
34091,18079.00,20,Under-Patron
34109,167448.92,35,Under-Patron
34366,17933.00,240,Under-Patron
37043,4015.00,0,Under-Patron
37083,45383.00,100,Under-Patron
37459,8513.00,35,Under-Patron
37581,820.00,2000,Under-Patron
37885,4252.00,25,Under-Patron
38385,14010.00,50,Under-Patron
39646,659.75,25,Under-Patron
39847,17631.00,10,Under-Patron
40933,840.50,25,Under-Patron
41564,322.00,16,Under-Patron
43017,33980.00,70.2,Under-Patron
45651,503.90,15,Under-Patron
45669,14125.20,30,Under-Patron
45715,1840.25,15,Under-Patron
45852,12.00,6.22,Under-Patron
45860,69684.00,250,Under-Patron
45974,888.97,500,Under-Patron
46458,2989.00,50,Under-Patron
47778,11480.00,10,Under-Patron
47992,920.00,50,Under-Patron
47993,754.00,250,Under-Patron
48438,10454.00,50,Under-Patron
48547,579.00,50,Under-Patron
48680,302.00,20,Under-Patron
48926,1080.00,10,Under-Patron
49063,866.00,25,Under-Patron
49208,1699.00,25,Under-Patron
49465,307.00,50,Under-Patron
49480,14543.00,50,Under-Patron
50109,2085.00,50,Under-Patron
50581,11474.00,20,Under-Patron
50584,14479.00,25,Under-Patron
50904,771.00,250,Under-Patron
51316,153447.00,25,Under-Patron
53189,240.00,100,Under-Patron
53683,789.50,2676.75,Under-Patron
54641,132.00,50,Under-Patron
54750,248276.04,25,Under-Patron
54905,1801.80,100,Under-Patron
54958,312.65,20,Under-Patron
55055,33085.00,77.5,Under-Patron
55116,30895.00,50,Under-Patron
55151,45760.50,100,Under-Patron
55834,4934.00,1000,Under-Patron
55983,37171.20,15,Under-Patron
56573,26498.00,150,Under-Patron
56643,2723.00,15,Under-Patron
56714,9898.50,100,Under-Patron
56984,5067.00,10,Under-Patron
57014,1233.00,100,Under-Patron
57200,4320.00,30,Under-Patron
57448,15.00,50,Under-Patron
57626,94.00,100,Under-Patron
57722,7214.75,50,Under-Patron
58241,834.00,250,Under-Patron
58277,3229.00,500,Under-Patron
60604,21334.00,50,Under-Patron
60747,2235.00,100,Under-Patron
61431,8249.00,200,Under-Patron
61478,3570.00,75,Under-Patron
62638,64032.92,25,Under-Patron
69556,271.00,50,Under-Patron
70582,6023.00,10,Under-Patron
73639,9654.00,40,Under-Patron
77610,17710.25,100,Under-Patron
80423,-12.00,127.5,Under-Patron
80478,577.50,45,Under-Patron
80937,283.00,40,Under-Patron
81266,7180.00,25,Under-Patron
81294,1066.00,25,Under-Patron
81478,13899.50,7.5,Under-Patron
81684,1082.94,50,Under-Patron
82419,217.00,5,Under-Patron
82676,2804.50,2000,Under-Patron
83047,1357.00,50,Under-Patron
83193,2648.00,25,Under-Patron
83194,4009.00,1000,Under-Patron
83204,837.00,50,Under-Patron
83439,384.00,100,Under-Patron
83575,36264.50,100,Under-Patron
83790,722.50,25,Under-Patron
83844,4608.00,250,Under-Patron
86288,4031.00,25,Under-Patron
86429,3739.00,50,Under-Patron
87007,27092.00,200,Under-Patron
87671,866.00,50,Under-Patron
87950,5894.00,250,Under-Patron
87964,5154.00,10,Under-Patron
88234,10271.00,50,Under-Patron
88718,4730.00,15,Under-Patron
89461,52.00,25,Under-Patron
89495,142.06,30,Under-Patron
90088,26.43,15,Under-Patron
90348,4895.00,15,Under-Patron
90526,2921.00,50,Under-Patron
90646,287.00,100,Under-Patron
90661,2373.00,150,Under-Patron
90717,769.50,300,Under-Patron
91311,381.00,100,Under-Patron
91358,1187.00,250,Under-Patron
91430,15435.00,150,Under-Patron
91529,5261.50,50,Under-Patron
91586,5797.25,100,Under-Patron
91610,22159.42,100,Under-Patron
91642,553.50,50,Under-Patron
91663,1695.00,100,Under-Patron
91863,2407.40,25,Under-Patron
91969,19943.50,50,Under-Patron
92030,23797.00,25,Under-Patron
92052,1799.00,0,Under-Patron
92614,913.00,100,Under-Patron
92728,979.00,50,Under-Patron
92746,34.00,0,Under-Patron
92756,217.00,25,Under-Patron
92879,6440.50,5,Under-Patron
93234,8223.00,300,Under-Patron
93593,16000.00,35,Under-Patron
93877,420.00,50,Under-Patron
94217,27.00,100,Under-Patron
94493,76222.00,100,Under-Patron
94603,8004.40,50,Under-Patron
94980,1505.00,200,Under-Patron
95400,538.00,100,Under-Patron
95677,25251.50,2000,Under-Patron
95829,1284.00,50,Under-Patron
95977,419.50,35,Under-Patron
96203,12242.00,50,Under-Patron
96363,6718.00,24,Under-Patron
96410,1201714.43,9,Under-Patron
96499,147.00,1000,Under-Patron
96596,729.00,125,Under-Patron
97165,52630.00,100,Under-Patron
97298,860.50,35,Under-Patron
97341,1540.00,50,Under-Patron
97367,24578.00,45,Under-Patron
97406,16356288.76,10,Under-Patron
97590,2693.00,20,Under-Patron
97643,9801.50,25,Under-Patron
97998,1698.00,50,Under-Patron
98068,5951.00,20,Under-Patron
98072,1099.00,50,Under-Patron
98195,516.00,50,Under-Patron
98420,15659.00,50,Under-Patron
98606,328.00,10,Under-Patron
98862,3313.00,100,Under-Patron
98916,1727.60,5,Under-Patron
99022,50244.00,20,Under-Patron
99122,3600.00,100,Under-Patron
99254,294.00,250,Under-Patron
99286,6045.00,100,Under-Patron
99513,5.00,100,Under-Patron
100982,64.00,10,Under-Patron
101296,1059.00,5,Under-Patron
101425,6230.00,50,Under-Patron
101614,1398.00,25,Under-Patron
101912,2837.00,100,Under-Patron
101951,-8.00,100,Under-Patron
102255,1.00,500,Under-Patron
102540,43972.50,50,Under-Patron
102616,195.00,10,Under-Patron
102754,3576.00,10,Under-Patron
102771,5040.50,10,Under-Patron
103104,22650.50,17,Under-Patron
103194,14601.50,250,Under-Patron
103457,1819.00,100,Under-Patron
104049,135.00,50,Under-Patron
104084,5889.00,100,Under-Patron
104152,10185.00,100,Under-Patron
104501,4752.00,17,Under-Patron
104518,4040.00,50,Under-Patron
104896,-15.00,250,Under-Patron
104929,7708.00,25,Under-Patron
104951,37680.00,50,Under-Patron
104970,16696.00,50,Under-Patron
104979,12.00,50,Under-Patron
105273,7322.00,25,Under-Patron
105364,496.00,350,Under-Patron
105406,1214.00,50,Under-Patron
105559,7831.00,100,Under-Patron
105634,3389.00,100,Under-Patron
105897,9639.00,10,Under-Patron
106531,68.00,100,Under-Patron
106917,5235.00,100,Under-Patron
107020,23480.00,32,Under-Patron
107675,14099.00,30,Under-Patron
107802,22080.00,350,Under-Patron
108010,196.50,1000,Under-Patron
108612,5746.00,50,Under-Patron
108641,9789.50,15,Under-Patron
108702,3079.00,100,Under-Patron
108879,7614.00,250,Under-Patron
108905,26267.00,500,Under-Patron
109023,36712.00,25,Under-Patron
109262,900.00,28,Under-Patron
109855,274.00,100,Under-Patron
109915,4970.00,50,Under-Patron
109988,1137.00,100,Under-Patron
110605,5982.00,40,Under-Patron
110663,533.00,250,Under-Patron
111073,110.00,100,Under-Patron
111585,3228.50,20,Under-Patron
111682,7516.00,14,Under-Patron
111913,1443.00,500,Under-Patron
112191,4076.25,50,Under-Patron
112398,330.00,25,Under-Patron
112511,21050.00,10,Under-Patron
112520,2589.00,10000,Under-Patron
112971,3029.00,100,Under-Patron
113060,480.25,100,Under-Patron
113159,6495.00,25,Under-Patron
113205,149.00,1,Under-Patron
113210,14423.00,2000,Under-Patron
113231,17.00,250,Under-Patron
113969,86791.00,5,Under-Patron
114268,18881.00,50,Under-Patron
115143,522.00,250,Under-Patron
115178,181.50,100,Under-Patron
115458,-16.00,100,Under-Patron
115735,116934.00,100,Under-Patron
115884,30734.00,50,Under-Patron
115917,218.75,250,Under-Patron
116036,11388.50,12.5,Under-Patron
116354,729.00,35,Under-Patron
116804,3341.00,25,Under-Patron
116846,28058.00,50,Under-Patron
117011,21391.00,25,Under-Patron
117034,5183.00,100,Under-Patron
117178,724.00,15,Under-Patron
117495,4.50,100,Under-Patron
117884,5733.00,50,Under-Patron
117971,704.00,25,Under-Patron
118442,188.00,200,Under-Patron
118601,30.00,100,Under-Patron
118833,4635.00,10,Under-Patron
119087,444.00,100,Under-Patron
119375,1291.00,50,Under-Patron
119703,91.00,150,Under-Patron
120280,207.00,5,Under-Patron
120285,3584.00,100,Under-Patron
120411,35994.20,25,Under-Patron
120448,1155.50,100,Under-Patron
120546,12653.50,100,Under-Patron
120633,854.00,100,Under-Patron
120755,3872.00,200,Under-Patron
120904,1126.00,2000,Under-Patron
120984,9134.00,11,Under-Patron
121188,4411.00,50,Under-Patron
121189,934.00,100,Under-Patron
121619,15583.00,46,Under-Patron
121789,440.00,250,Under-Patron
122308,5542.00,20,Under-Patron
122694,45815.50,100,Under-Patron
122740,567.00,10,Under-Patron
122806,18536.00,209,Under-Patron
123038,13188.00,250,Under-Patron
124381,544.00,50,Under-Patron
125157,298.00,10,Under-Patron
125322,1919.00,0,Under-Patron
125364,8986.00,25,Under-Patron
125639,9229.00,50,Under-Patron
126376,1361.00,25,Under-Patron
127007,1234.00,25,Under-Patron
127679,5906.00,250,Under-Patron
127851,518.60,100,Under-Patron
127859,8.00,50,Under-Patron
128433,80.00,100,Under-Patron
128863,1711.00,200,Under-Patron
129249,21140.50,50,Under-Patron
129295,50576.50,25,Under-Patron
129749,84598.00,61.9,Under-Patron
130055,15747.00,25,Under-Patron
131016,36124.00,13,Under-Patron
131060,984.00,12,Under-Patron
131423,1459.25,500,Under-Patron
132092,78792.00,100,Under-Patron
132467,41649.00,100,Under-Patron
132602,4731.00,100,Under-Patron
132691,161.90,0,Under-Patron
132703,3659.00,100,Under-Patron
132741,-2.00,25,Under-Patron
132822,19699.75,500,Under-Patron
133153,488.00,50,Under-Patron
133330,5983.00,100,Under-Patron
133488,488.00,100,Under-Patron
133580,2706.00,25,Under-Patron
133649,1436.00,35,Under-Patron
133894,180.00,250,Under-Patron
134482,185.00,20,Under-Patron
134489,274.00,25,Under-Patron
134588,97239.00,20,Under-Patron
134608,5546.00,125,Under-Patron
134848,440.00,250,Under-Patron
134923,30371.20,50,Under-Patron
135116,417.00,10,Under-Patron
135191,27134.00,50,Under-Patron
135300,2373.00,250,Under-Patron
135467,9749.25,45,Under-Patron
135729,685.50,100,Under-Patron
136707,23.00,25,Under-Patron
138469,2239.00,25,Under-Patron
139928,558.00,100,Under-Patron
140576,4392.00,50,Under-Patron
140899,643.00,100,Under-Patron
140958,13.50,101,Under-Patron
141772,187.00,100,Under-Patron
141782,520.00,100,Under-Patron
141987,31.00,100,Under-Patron
142102,3133.00,100,Under-Patron
142284,904.00,200,Under-Patron
142689,149.00,1000,Under-Patron
143291,3596.00,100,Under-Patron
143478,34.00,30,Under-Patron
143646,97.00,6000,Under-Patron
144004,199.50,50,Under-Patron
144252,857.00,100,Under-Patron
144400,324.00,100,Under-Patron
144857,1086.00,250,Under-Patron
145148,5764.00,250,Under-Patron
145158,1372.00,50,Under-Patron
145341,188.00,250,Under-Patron
145537,1490.00,50,Under-Patron
145598,1392.00,30,Under-Patron
146004,11038.50,250,Under-Patron
146169,27576.00,50,Under-Patron
146189,4120.00,250,Under-Patron
146505,9795.00,50,Under-Patron
146529,14402.00,50,Under-Patron
146656,21285.00,50,Under-Patron
147631,4736.00,100,Under-Patron
147793,314.00,15,Under-Patron
148087,8735.00,100,Under-Patron
148673,214.00,250,Under-Patron
148838,27590.00,20,Under-Patron
149023,597.00,5,Under-Patron
150354,2494.00,29.5,Under-Patron
150656,420.00,600,Under-Patron
151409,38.00,500,Under-Patron
152491,3205.50,250,Under-Patron
152519,1484.00,100,Under-Patron
152910,433.00,50,Under-Patron
152924,3998.50,20,Under-Patron
153102,2684.50,100,Under-Patron
153254,4863.00,25,Under-Patron
153447,1902.00,50,Under-Patron
153505,1035.00,50,Under-Patron
153673,24.50,25,Under-Patron
153950,3399.00,250,Under-Patron
153983,3768.50,1400,Under-Patron
154129,6598.00,32.15,Under-Patron
154286,65930.00,12,Under-Patron
154338,4858.00,25,Under-Patron
154339,558.00,25,Under-Patron
154699,93.00,100,Under-Patron
154841,421.00,25,Under-Patron
154965,3535.00,100,Under-Patron
155110,10929.50,25,Under-Patron
155354,370.00,100,Under-Patron
156060,731.00,250,Under-Patron
156158,5607.00,250,Under-Patron
156501,27.15,25,Under-Patron
156603,360.00,25,Under-Patron
156744,6029.00,50,Under-Patron
156784,2569.00,50,Under-Patron
156823,7614.50,75,Under-Patron
157055,24672.46,25,Under-Patron
157704,12040.00,100,Under-Patron
158177,265.00,250,Under-Patron
158244,957.00,25,Under-Patron
158286,7856.00,125,Under-Patron
158333,991.00,50,Under-Patron
158427,111.00,50,Under-Patron
158519,85.00,20,Under-Patron
159413,910.00,150,Under-Patron
159791,595.00,125,Under-Patron
159808,74312.00,75,Under-Patron
159907,1233.00,25,Under-Patron
160327,1689.00,55,Under-Patron
160600,1741.00,125,Under-Patron
160814,1210.00,50,Under-Patron
160840,21079.50,50,Under-Patron
160914,1786.00,50,Under-Patron
161031,974.20,200,Under-Patron
161065,911.00,25,Under-Patron
161382,4126.00,100,Under-Patron
161436,21313.00,50,Under-Patron
161655,687.50,100,Under-Patron
162169,1323.00,12.5,Under-Patron
162754,5916.50,47,Under-Patron
163030,26364.00,25,Under-Patron
163164,3368.50,100,Under-Patron
163165,61.00,100,Under-Patron
163608,2521.00,30,Under-Patron
164129,290.00,50,Under-Patron
164277,697.00,0,Under-Patron
164431,53.70,60,Under-Patron
